time,seconds_elapsed,z,y,x
1789224566107664400,0.046664306640625,-0.00281948852352798,-0.038897596299648285,-0.08552129566669464
1789224566117701600,0.05670166015625,-0.000639424950350076,-0.038780417293310165,-0.09679658710956573
1789224566127739400,0.066739501953125,-0.003049852093681693,-0.04457172751426697,-0.11174703389406204
1789224566137776400,0.0767763671875,-0.01575605943799019,-0.06703868508338928,-0.12701307237148285
1789224566147814400,0.086814453125,-0.037031788378953934,-0.08333563804626465,-0.1449446678161621
1789224566157852400,0.096852294921875,-0.047981373965740204,-0.09958411753177643,-0.15992522239685059
1789224566167889400,0.106889404296875,-0.044549889862537384,-0.14481471478939056,-0.16866011917591095
1789224566177927400,0.116927490234375,-0.03707785904407501,-0.17726746201515198,-0.17420189082622528
1789224566187965400,0.12696533203125,-0.01955372840166092,-0.19985239207744598,-0.17215178906917572
1789224566198002400,0.13700244140625,0.004908472299575806,-0.21113966405391693,-0.1710931807756424
1789224566208040400,0.14704052734375,0.02315911464393139,-0.1851365715265274,-0.18027763068675995
1789224566218077400,0.157077392578125,0.04079483449459076,-0.13325180113315582,-0.19816474616527557
1789224566228115200,0.167115234375,0.0661449283361435,-0.10411814600229263,-0.19818872213363647
1789224566238153500,0.177153564453125,0.07660023868083954,-0.10920052230358124,-0.17014722526073456
1789224566248190500,0.1871904296875,0.07733100652694702,-0.12903735041618347,-0.09626208990812302
1789224566258228500,0.197228515625,0.08770056068897247,-0.12231738865375519,0.029751770198345184
1789224566268266500,0.2072666015625,0.08774077147245407,-0.10353518277406693,0.15571822226047516
1789224566278303500,0.217303466796875,0.08650372922420502,-0.07829959690570831,0.26056209206581116
1789224566288341500,0.227341552734375,0.10270826518535614,-0.030004505068063736,0.33530423045158386
1789224566298378500,0.23737841796875,0.14606399834156036,0.01775502786040306,0.37586602568626404
1789224566308416300,0.247416259765625,0.19284269213676453,0.010361560620367527,0.3897578716278076
1789224566318454500,0.25745458984375,0.13268613815307617,-0.05284244194626808,0.398090660572052
1789224566328491500,0.267491455078125,-0.2008071392774582,-0.034569695591926575,0.4653541147708893
1789224566338529300,0.277529296875,-0.5843228101730347,-0.002743055811151862,0.5581998825073242
1789224566348567600,0.287567626953125,-0.8982877135276794,0.04410620778799057,0.6178885102272034
1789224566358604500,0.2976044921875,-1.1236814260482788,0.10393918305635452,0.6439523696899414
1789224566368642300,0.307642333984375,-1.2747877836227417,0.15371152758598328,0.651395857334137
1789224566378679600,0.317679443359375,-1.369707703590393,0.21435171365737915,0.6467862129211426
1789224566388717300,0.32771728515625,-1.419942855834961,0.2235500067472458,0.6469641327857971
1789224566398755300,0.33775537109375,-1.4247357845306396,0.19510717689990997,0.6376028656959534
1789224566408792600,0.34779248046875,-1.3939179182052612,0.1660294532775879,0.6282708644866943
1789224566418830300,0.357830322265625,-1.3495893478393555,0.10550165921449661,0.6252478957176208
1789224566428868600,0.36786865234375,-1.311761498451233,0.09301276504993439,0.6203354597091675
1789224566438905600,0.377905517578125,-1.2545901536941528,0.01936996914446354,0.6399639844894409
1789224566448943400,0.387943359375,-1.1711103916168213,-0.044608745723962784,0.6656017303466797
1789224566458981600,0.397981689453125,-1.059496521949768,0.006329535041004419,0.6713136434555054
1789224566469018400,0.408018310546875,-0.7973440289497375,-0.23231686651706696,0.7801581025123596
1789224566479056400,0.418056396484375,-0.396448016166687,-0.17455236613750458,0.8543505668640137
1789224566489093600,0.42809375,0.02919224090874195,0.31497257947921753,0.8434579968452454
1789224566499131400,0.43813134765625,0.38659459352493286,0.8346189856529236,0.8129317760467529
1789224566509169400,0.44816943359375,0.595125138759613,1.1391985416412354,0.716911792755127
1789224566519206400,0.458206298828125,0.6033974885940552,1.2418447732925415,0.5504716634750366
1789224566529244400,0.468244384765625,0.5295408368110657,1.2020792961120605,0.3244553208351135
1789224566539282400,0.478282470703125,0.4351749122142792,1.1015803813934326,0.07519115507602692
1789224566549319400,0.4883193359375,0.2842935025691986,0.9769499897956848,-0.17788664996623993
1789224566559357400,0.498357421875,0.10057906806468964,0.8122047185897827,-0.4020425081253052
1789224566569395500,0.5083955078125,-0.053832072764635086,0.5458148717880249,-0.5691574811935425
1789224566579432400,0.518432373046875,-0.15821094810962677,0.28305673599243164,-0.6672454476356506
1789224566589470500,0.528470458984375,-0.20893031358718872,0.12144440412521362,-0.7120504379272461
1789224566599507500,0.538507568359375,-0.23544847965240479,0.05849659815430641,-0.723268985748291
1789224566609545500,0.54854541015625,-0.2540951371192932,0.007867510430514812,-0.7204878926277161
1789224566619583500,0.55858349609375,-0.2647448480129242,-0.02100781351327896,-0.6987053155899048
1789224566629620200,0.5686201171875,-0.2647158205509186,-0.023060046136379242,-0.6538084149360657
1789224566639658500,0.578658447265625,-0.24700047075748444,0.0776551142334938,-0.6351535320281982
1789224566649696300,0.5886962890625,-0.21557916700839996,0.024222781881690025,-0.5268965363502502
1789224566659733500,0.5987333984375,-0.14662326872348785,-0.11002237349748611,-0.3455464839935303
