time,seconds_elapsed,z,y,x
1789063969865317000,0.044317138671875,7.314792852255701,6.387378731641173,1.3658645745903253
1789063969875354000,0.05435400390625,7.314110130688547,6.389160354360937,1.361177439687401
1789063969885391000,0.06439111328125,7.313495213660597,6.3908730034977195,1.356435944248736
1789063969895427800,0.074427734375,7.312882050198316,6.392469332778454,1.3522149655528366
1789063969905465000,0.084465087890625,7.312386375635862,6.393880368620157,1.3482166896969079
1789063969915502000,0.094502197265625,7.312147890704869,6.395051165965199,1.3439455882489681
1789063969925539000,0.1045390625,7.31182991079688,6.396289183327555,1.339781892698258
1789063969935576800,0.114576904296875,7.311752169385552,6.397253059923648,1.3355937933586537
1789063969945614000,0.124614013671875,7.311293319702148,6.398690399250388,1.3312133863173425
1789063969955651000,0.134651123046875,7.310927993521094,6.400054673340916,1.3266560152739286
1789063969965688000,0.14468798828125,7.310340549021959,6.401663277581334,1.3221252399764953
1789063969975725000,0.15472509765625,7.309457920968532,6.403635454437136,1.3174489187285303
1789063969985762000,0.164761962890625,7.307907768917083,6.406442328551411,1.3123901740342379
1789063969995799000,0.174799072265625,7.306177584123611,6.40959523962438,1.306613198067993
1789063970005836000,0.1848359375,7.305387895050645,6.411570339089631,1.3013299969680607
1789063970015873000,0.194873046875,7.306195119780302,6.411337699377537,1.2979359706155955
1789063970025910000,0.204909912109375,7.3081351479321714,6.409844830471277,1.2943867537014186
1789063970035947000,0.214947021484375,7.3103177526682614,6.407683853045105,1.292758714108169
1789063970045984000,0.22498388671875,7.313736621201038,6.404785793516039,1.2877734730415045
1789063970056021000,0.23502099609375,7.317716630747914,6.401160588756203,1.283180884554237
1789063970066058000,0.24505810546875,7.321349434292316,6.397998325332999,1.2782180014498532
1789063970076096000,0.255095947265625,7.324279058003425,6.395521121564507,1.273827219145
1789063970086133000,0.265133056640625,7.326223762330413,6.393828346171975,1.2711375416696071
1789063970096170000,0.275169921875,7.32710463681817,6.3934326248526565,1.2680423521332442
1789063970106207200,0.285207275390625,7.326875504237413,6.394318175515532,1.2648986472800374
1789063970116244000,0.295243896484375,7.325617028608918,6.396451680412889,1.2614026218578218
1789063970126281000,0.305281005859375,7.323157360497117,6.399802744406461,1.2586796266347169
1789063970136318000,0.31531787109375,7.320442840841412,6.403356052973866,1.256392977002263
1789063970146355000,0.32535498046875,7.317720137879252,6.4068468176990745,1.2544587940692902
1789063970156392200,0.33539208984375,7.3158087512999765,6.409464891242981,1.2522327885828912
1789063970166429000,0.345428955078125,7.315022569358349,6.410873588997125,1.2496107695162295
1789063970176466000,0.3554658203125,7.315403677630424,6.410929703098535,1.2470916263021528
1789063970186503000,0.3655029296875,7.317007605695724,6.409601084843278,1.2445109621591866
1789063970196540200,0.3755400390625,7.319611650714278,6.407187009438872,1.2416215243279933
1789063970206577200,0.3855771484375,7.322358903595805,6.404553738325834,1.2390015510879455
1789063970216615000,0.395614990234375,7.324758950474858,6.402179410409927,1.237091041291505
1789063970226652200,0.405652099609375,7.326658646616339,6.400373822292685,1.2351828695826232
1789063970236689200,0.415689208984375,7.328284201991558,6.398886214083433,1.2332435720831154
1789063970246726100,0.42572607421875,7.329413498282432,6.397882005476951,1.231742081478983
1789063970256763000,0.435762939453125,7.329377257925271,6.3980053395956755,1.231318595369905
1789063970266799900,0.4457998046875,7.328177234485745,6.399640247321129,1.2299610432811081
1789063970276837000,0.455837158203125,7.32809423237741,6.400909828865528,1.223831527550146
1789063970286874000,0.4658740234375,7.326008658275008,6.404717404454946,1.216375731651485
1789063970296911000,0.4759111328125,7.321984225064516,6.409084367492794,1.2176119954481721
1789063970306947800,0.48594775390625,7.319985744723677,6.410942562580108,1.2198417272616178
1789063970316985000,0.495985107421875,7.320909873831272,6.410262763622403,1.2178651664916424
1789063970327022000,0.50602197265625,7.320635733065009,6.410344596686959,1.2190820680007337
1789063970337059000,0.51605908203125,7.319906834268569,6.411616516318917,1.2167658269476145
1789063970347096800,0.526096923828125,7.320196757125854,6.412129142016172,1.2123141813009977
1789063970357134000,0.536134033203125,7.322269471746683,6.410504755684733,1.2083793991353362
1789063970367171000,0.546171142578125,7.324599960520863,6.408531409785151,1.2047156159307808
1789063970377208000,0.5562080078125,7.326215579023957,6.406652756431699,1.2048892189320175
1789063970387245000,0.5662451171875,7.327191146057844,6.405736810630559,1.2038251698970794
1789063970397282000,0.576281982421875,7.3271256796061985,6.405304848954081,1.2065216424394398
1789063970407319000,0.586319091796875,7.328344992268085,6.405218339714407,1.1995509997092186
1789063970417356000,0.59635595703125,7.328536715447902,6.407112190636992,1.1882100329402834
1789063970427393000,0.60639306640625,7.325446932739019,6.410349857383966,1.189803147350624
1789063970437430000,0.616429931640625,7.320971833151578,6.414952382743358,1.1925384175334126
1789063970447467000,0.626467041015625,7.317121002942323,6.41823213506639,1.19851106220223
1789063970457504000,0.63650390625,7.31496411716938,6.419557246190309,1.2045631287828087
1789063970467541000,0.646541015625,7.314095517641306,6.42080520042479,1.203185264558345
1789063970477578000,0.656577880859375,7.313536714714765,6.4217994721591465,1.2012758507404475
1789063970487616000,0.666615966796875,7.314164491224289,6.421366925960779,1.1997585049800574
1789063970497653000,0.676653076171875,7.316514853742718,6.418728394150733,1.1995520226225256
1789063970507690000,0.68668994140625,7.319953596019745,6.413732485559582,1.2052801179457455
