time,seconds_elapsed,z,y,x
1789309745416091600,0.041091552734375,8.334365616607666,6.158934133148193,-0.20141221466064452
1789309745426103800,0.051103759765625,8.201637062072754,6.027402679443359,-0.2079962692260742
1789309745436115700,0.06111572265625,7.995137168884277,6.120028356170654,-0.5705681831359863
1789309745446127900,0.0711279296875,7.269694065856934,6.890811653137207,-0.900818374633789
1789309745456139800,0.081139892578125,6.851456963348388,7.186196282958984,-0.5684732566833496
1789309745466151700,0.091151611328125,6.625354544067382,7.306953829193115,-0.5533598587036133
1789309745476164900,0.101164794921875,6.3907227813720695,7.281814711761474,-0.39145197143554683
1789309745486176800,0.1111767578125,6.365882939147949,6.9707181335449215,-0.29777883148193357
1789309745496189000,0.12118896484375,6.3335612167358395,6.48664048538208,-0.5440823272705078
1789309745506200800,0.131200927734375,6.562357112884521,6.048651219177246,-0.643591333770752
1789309745516212700,0.141212646484375,6.83783994140625,5.830928505706787,-0.6521206771850585
1789309745526225000,0.151224853515625,7.134870584869384,5.678298149871826,-0.6839934867858887
1789309745536236800,0.16123681640625,7.4956468475341795,5.594501091766357,-0.6847416748046875
1789309745546248700,0.171248779296875,8.546551738739014,5.616348181915283,-0.7079355033874511
1789309745556260900,0.1812607421875,9.8694977935791,5.7514709381103515,-0.6839934867858887
1789309745566273800,0.191273681640625,9.259574920654297,6.168510939788818,-0.12330138549804687
1789309745576286000,0.201285888671875,8.40828659286499,6.378751773071289,0.07018003616333007
1789309745586297900,0.2112978515625,7.6614453125,6.138733056640625,-0.022445640563964843
1789309745596310000,0.22131005859375,7.045088022613525,5.910984623718261,0.22520459365844725
1789309745606322000,0.231322021484375,7.049128237915038,5.712415523529052,0.5449801528930663
1789309745616333800,0.241333740234375,7.1398086257934565,5.6872764060974115,0.8077437850952148
1789309745626346000,0.251345947265625,7.136666236114501,5.86714080581665,0.8705915786743164
1789309745636358000,0.26135791015625,7.083694524383544,5.890633909606933,0.5226841499328613
1789309745646369800,0.271369873046875,6.90816961517334,5.874622686004638,-0.003591302490234375
1789309745656382000,0.2813818359375,6.974907986450195,6.188712016296386,0.043544542694091797
1789309745666394600,0.29139453125,7.190086860656738,6.498312218475341,-0.2066495307922363
1789309745676406800,0.30140673828125,7.192331424713134,6.69733023147583,-0.31648353195190426
1789309745686418700,0.311418701171875,7.410503050994873,6.815843213653564,0.11596914291381835
1789309745696430600,0.3214306640625,7.511508433532715,6.8691142005920405,0.16340426330566404
